"","name","to","Estimate","Est.Error","Q2.5","Q97.5","DayNight","Tide","Season"
"1","DayNightNight","DICdiffstd",-0.737943437945465,0.296340800081512,-1.32281223485408,-0.160826648142061,"Both","Both","Both"
"2","TideLowTide","DICdiffstd",-0.562959670284204,0.205973613054779,-0.973134801444168,-0.177647200933299,"Both","Both","Both"
"3","SeasonSpring","DICdiffstd",2.01053509265426,0.334797315615781,1.35294332066257,2.63961277844158,"Both","Both","Both"
"4","DayNightNight","Tempinstd",-0.763146425534081,0.0864829348527517,-0.932000530495691,-0.593607153562389,"Both","Both","Both"
"5","SeasonSpring","Tempinstd",-1.44366906785727,0.0959324784308637,-1.62933917414796,-1.24895860592919,"Both","Both","Both"
"6","pHstd","TAdiffstd",0.590223297272743,0.0787404583779961,0.429870084070986,0.748470796360502,"Both","Both","Both"
"7","Tempinstd","TAdiffstd",-0.0901943265794736,0.0851426821132063,-0.251646824972008,0.0750015166998964,"Both","Both","Both"
"8","DICdiffstd","pHstd",0.932352624075366,0.027927898833954,0.878632297108044,0.987249797875477,"Both","Both","Both"
"9","logSGDstd","pHstd",0.171408283927726,0.0322258142736886,0.108052385869795,0.237146490022767,"Both","Both","Both"
"10","logSGDstd","logNNstd",1.07213624176123,0.0259150088902741,1.02126464111474,1.12389595035196,"Both","Both","Both"
"11","logNNstd","DICdiffstd",0.41050183470721,0.173765764426939,0.404281310424847,0.416722358989573,"Day","High","Both"
"12","logNNstd","DICdiffstd",-0.331100305241764,0.0598582853676659,-0.333243131930659,-0.32895747855287,"Day","Low","Both"
"13","logNNstd","DICdiffstd",-0.221288016260965,0.102105667549249,-0.224943228704289,-0.217632803817641,"Night","High","Both"
"14","logNNstd","DICdiffstd",-0.264112456443303,0.0585850840715349,-0.266209704651275,-0.262015208235331,"Night","Low","Both"
"15","Temperature","DICdiffstd",1.00297693932828,0.221610845183529,0.995043641027282,1.01091023762927,"Both","Both","Fall"
"16","Temperature","DICdiffstd",1.19255532202029,0.189565372312046,1.18576919815147,1.19934144588912,"Both","Both","Spring"
"17","logSGDstd","Tempinstd",-0.239098946601415,0.0710823963921642,-0.241643577727485,-0.236554315475346,"Day","Both","Fall"
"18","logSGDstd","Tempinstd",-0.159023987520849,0.0609108839208886,-0.161204495480744,-0.156843479560955,"Day","Both","Spring"
"19","logSGDstd","Tempinstd",0.0604466950549475,0.0606522661075937,0.058275445181033,0.062617944928862,"Night","Both","Fall"
"20","logSGDstd","Tempinstd",-0.00462298906206678,0.0683435912098936,-0.0070695755347652,-0.00217640258936835,"Night","Both","Spring"
