"","name","to","Estimate","Est.Error","Q2.5","Q97.5","DayNight","Tide","Season"
"1","DayNightNight","DICdiffstd",-1.34836269316082,0.196201436103068,-1.74456900626754,-0.9633358068175,"Both","Both","Both"
"2","TideLowTide","DICdiffstd",-0.342238743450621,0.164554229187264,-0.667556750745009,-0.0193487796850472,"Both","Both","Both"
"3","SeasonSpring","DICdiffstd",-0.586759178008337,0.153594119620744,-0.887253424037349,-0.292722831715542,"Both","Both","Both"
"4","DayNightNight","Tempinstd",-0.60932082502354,0.093780568455551,-0.794378638984083,-0.433174880129548,"Both","Both","Both"
"5","SeasonSpring","Tempinstd",-1.34937624220003,0.0951222079570385,-1.53599765885307,-1.15974392807125,"Both","Both","Both"
"6","pHstd","TAdiffstd",0.250892205387716,0.100468135850709,0.0542249381079511,0.447148519158752,"Both","Both","Both"
"7","Tempinstd","TAdiffstd",0.211609110551608,0.0884777950468435,0.0362016812767362,0.379347915769457,"Both","Both","Both"
"8","DICdiffstd","pHstd",0.95224139847323,0.0302690072795997,0.892383844545169,1.01148427658561,"Both","Both","Both"
"9","logSGDstd","pHstd",-0.116854663325255,0.0262103094932133,-0.167976909423095,-0.0650744398752839,"Both","Both","Both"
"10","logSGDstd","logNNstd",0.678457127888548,0.0256063332859406,0.629588051696006,0.727391400699213,"Both","Both","Both"
"11","logNNstd","DICdiffstd",-0.0811540460523884,0.181881574760889,-0.0876651027961941,-0.0746429893085827,"Day","High","Both"
"12","logNNstd","DICdiffstd",0.331685783039235,0.072212444103773,0.329100698091589,0.334270867986881,"Day","Low","Both"
"13","logNNstd","DICdiffstd",-0.0569660987340466,0.150157176096175,-0.0623414749662853,-0.051590722501808,"Night","High","Both"
"14","logNNstd","DICdiffstd",0.170151090179067,0.0688845185971074,0.167685139408929,0.172617040949205,"Night","Low","Both"
"15","Temperature","DICdiffstd",0.260542416530391,0.0934701277234378,0.257196341996683,0.263888491064098,"Both","Both","Fall"
"16","Temperature","DICdiffstd",0.181145833463913,0.118685072798978,0.176897105990266,0.185394560937561,"Both","Both","Spring"
"17","logSGDstd","Tempinstd",-0.5079341001694,0.0756816360102212,-0.510643376395837,-0.505224823942963,"Day","Both","Fall"
"18","logSGDstd","Tempinstd",-0.407498806290197,0.0632453674102653,-0.40976288486183,-0.405234727718563,"Day","Both","Spring"
"19","logSGDstd","Tempinstd",-0.349519106133979,0.0572166064304132,-0.351567365126932,-0.347470847141026,"Night","Both","Fall"
"20","logSGDstd","Tempinstd",-0.233680540108158,0.0820933111689375,-0.236619343601643,-0.230741736614673,"Night","Both","Spring"
